abbreviation,W
MIL,60
TOR,58
PHI,51
BOS,49
IND,48
BRK,42
ORL,42
DET,41
CHO,39
MIA,39
WAS,32
ATL,29
CHI,22
CLE,19
NYK,17
GSW,57
DEN,54
POR,53
HOU,53
UTA,50
OKC,49
SAS,48
LAC,48
SAC,39
LAL,37
MIN,36
MEM,33
NOP,33
DAL,33
PHO,19
