abbreviation,W
CLE,57
TOR,56
MIA,48
ATL,48
BOS,48
CHO,48
IND,45
DET,44
CHI,42
WAS,41
ORL,35
MIL,33
NYK,32
BRK,21
PHI,10
GSW,73
SAS,67
OKC,55
LAC,53
POR,44
DAL,42
MEM,42
HOU,41
UTA,40
SAC,33
DEN,33
NOP,30
MIN,29
PHO,23
LAL,17
