abbreviation,W
MIL,53
TOR,46
BOS,43
MIA,41
IND,39
PHI,39
BRK,30
ORL,30
WAS,24
CHO,23
CHI,22
NYK,21
DET,20
ATL,20
CLE,19
LAL,49
LAC,44
DEN,43
UTA,41
OKC,40
HOU,40
DAL,40
MEM,32
POR,29
NOP,28
SAC,28
SAS,27
PHO,26
MIN,19
GSW,15
