,abbreviation,assists,blocks,defensive_rebounds,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempts,free_throw_percentage,free_throws,games_played,minutes_played,name,offensive_rebounds,opp_assists,opp_blocks,opp_defensive_rebounds,opp_field_goal_attempts,opp_field_goal_percentage,opp_field_goals,opp_free_throw_attempts,opp_free_throw_percentage,opp_free_throws,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steals,opp_three_point_field_goal_attempts,opp_three_point_field_goal_percentage,opp_three_point_field_goals,opp_total_rebounds,opp_turnovers,opp_two_point_field_goal_attempts,opp_two_point_field_goal_percentage,opp_two_point_field_goals,personal_fouls,points,rank,steals,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebounds,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,W,Season
71,ATL,2118,419,2825,7524,0.451,3392,1918,0.752,1443,82,19855,Atlanta Hawks,955,2202,448,2904,7417,0.473,3508,2321,0.758,1759,871,1817,9788,810,2820,0.359,1013,3775,1234,4597,0.543,2495,1932,9294,12,675,3034,0.352,1067,3780,1397,4490,0.518,2325,29,2018-2019
72,MIN,2018,411,2750,7483,0.456,3413,1995,0.787,1570,82,19830,Minnesota Timberwolves,923,2145,455,2822,7386,0.467,3452,1827,0.767,1401,921,1795,9346,539,2752,0.378,1041,3743,1209,4634,0.52,2411,1664,9223,13,683,2357,0.351,827,3673,1074,5126,0.504,2586,36,2018-2019
73,BOS,2155,435,2849,7423,0.465,3451,1598,0.802,1282,82,19780,Boston Celtics,804,1940,317,2912,7222,0.448,3239,1872,0.764,1430,852,1602,8852,556,2748,0.344,944,3764,1241,4474,0.513,2295,1670,9216,14,706,2829,0.365,1032,3653,1052,4594,0.527,2419,49,2018-2019
74,BRK,1954,339,2919,7358,0.449,3301,2088,0.745,1555,82,19980,Brooklyn Nets,900,1944,432,2889,7581,0.456,3460,1872,0.77,1442,902,1807,9210,638,2486,0.341,848,3791,1104,5095,0.513,2612,1763,9204,15,539,2965,0.353,1047,3819,1236,4393,0.513,2254,42,2018-2019
75,LAL,2096,440,2985,7425,0.47,3491,1910,0.699,1336,82,19780,Los Angeles Lakers,835,2053,421,2918,7610,0.452,3438,1862,0.784,1459,924,1706,9306,683,2784,0.349,971,3842,1167,4826,0.511,2467,1701,9165,16,618,2541,0.333,847,3820,1284,4884,0.541,2644,37,2018-2019
76,UTA,2133,483,2981,7082,0.468,3314,2092,0.736,1540,82,19755,Utah Jazz,820,1770,376,2762,7253,0.452,3276,1822,0.753,1372,733,1835,8730,695,2273,0.355,806,3495,1136,4980,0.496,2470,1728,9161,17,663,2789,0.356,993,3801,1240,4293,0.541,2321,50,2018-2019
77,SAS,2013,386,2910,7248,0.478,3468,1720,0.819,1408,82,19805,San Antonio Spurs,757,2025,332,2844,7354,0.463,3404,1654,0.755,1249,756,1611,9018,589,2678,0.359,961,3600,999,4676,0.522,2443,1487,9156,18,501,2071,0.392,812,3667,992,5177,0.513,2656,48,2018-2019
78,CHO,1905,405,2778,7362,0.448,3297,1895,0.797,1510,82,19830,Charlotte Hornets,814,2133,492,2931,7311,0.47,3436,1660,0.787,1307,825,1686,9171,565,2748,0.361,992,3756,1109,4563,0.536,2444,1550,9081,19,591,2783,0.351,977,3592,1001,4579,0.507,2320,39,2018-2019
79,DEN,2245,363,2832,7384,0.466,3439,1714,0.755,1294,82,19730,Denver Nuggets,972,2016,407,2685,7084,0.458,3246,1822,0.753,1372,799,1675,8751,610,2618,0.339,887,3484,1109,4466,0.528,2359,1644,9075,20,634,2571,0.351,903,3804,1102,4813,0.527,2536,54,2018-2019
80,DAL,1918,351,2884,7122,0.447,3182,2076,0.742,1541,82,19780,Dallas Mavericks,832,2011,368,2840,7315,0.459,3357,1802,0.777,1400,836,1905,9032,643,2667,0.344,918,3676,1065,4648,0.525,2439,1650,8927,21,533,3002,0.34,1022,3716,1167,4120,0.524,2160,33,2018-2019
81,IND,2128,404,2766,7135,0.475,3390,1727,0.752,1298,82,19705,Indiana Pacers,762,2006,425,2718,7059,0.45,3177,1718,0.756,1298,862,1642,8584,608,2633,0.354,932,3580,1284,4426,0.507,2245,1594,8857,22,713,2081,0.374,779,3528,1122,5054,0.517,2611,48,2018-2019
82,PHO,1957,418,2563,7164,0.459,3289,1858,0.779,1447,82,19880,Phoenix Suns,748,2126,411,2897,7230,0.482,3482,2263,0.753,1705,971,1694,9581,737,2454,0.372,912,3868,1285,4776,0.538,2570,1932,8815,23,735,2400,0.329,790,3311,1279,4764,0.525,2499,19,2018-2019
83,ORL,2095,445,2902,7307,0.454,3316,1575,0.782,1231,82,19780,Orlando Magic,822,1892,362,2922,7185,0.456,3274,1717,0.778,1336,739,1537,8742,575,2475,0.347,858,3661,1064,4710,0.513,2416,1526,8800,24,543,2633,0.356,937,3724,1082,4674,0.509,2379,42,2018-2019
84,DET,1845,331,2752,7238,0.44,3185,1893,0.747,1415,82,19855,Detroit Pistons,936,1940,419,2834,6969,0.469,3271,1947,0.755,1470,747,1748,8798,566,2278,0.345,786,3581,1153,4691,0.53,2485,1811,8778,25,569,2854,0.348,993,3688,1135,4384,0.5,2192,41,2018-2019
85,MIA,1991,448,2879,7218,0.45,3251,1782,0.695,1238,82,19730,Miami Heat,921,1913,389,2792,7116,0.441,3141,1861,0.769,1432,831,1652,8687,612,2717,0.358,973,3623,1159,4399,0.493,2168,1712,8668,26,627,2658,0.349,928,3800,1208,4560,0.509,2323,39,2018-2019
86,CHI,1796,351,2799,7205,0.453,3266,1695,0.783,1328,82,19905,Chicago Bulls,718,2094,473,2984,7316,0.473,3464,1805,0.763,1377,824,1534,9295,600,2709,0.365,990,3808,1092,4607,0.537,2474,1663,8605,27,603,2123,0.351,745,3517,1159,5082,0.496,2521,22,2018-2019
87,NYK,1646,422,2811,7241,0.433,3134,1956,0.759,1484,82,19780,New York Knicks,857,2098,458,3016,7352,0.467,3434,1948,0.766,1493,881,1708,9330,607,2673,0.363,969,3897,1084,4679,0.527,2465,1713,8575,28,557,2421,0.34,823,3668,1151,4820,0.479,2311,17,2018-2019
88,CLE,1698,195,2619,7184,0.444,3189,1694,0.792,1342,82,19755,Cleveland Cavaliers,879,2107,459,2835,7148,0.495,3539,1680,0.77,1293,782,1592,9355,568,2590,0.38,984,3617,1022,4558,0.561,2555,1642,8567,29,534,2388,0.355,847,3498,1106,4796,0.488,2342,19,2018-2019
89,MEM,1963,448,2703,6924,0.45,3113,1882,0.772,1453,82,19880,Memphis Grizzlies,723,1920,402,2883,6836,0.451,3083,2023,0.784,1586,781,1758,8703,625,2639,0.36,951,3664,1249,4197,0.508,2132,1801,8490,30,684,2368,0.342,811,3426,1147,4556,0.505,2302,33,2018-2019
